test_time,cycle,current,voltage                                                                                                                  
4815.331,1,0.74,3.802                                                                                                                            
4816.331,1,0.74,3.802                                                                                                                            
4817.331,1,0.74,3.802                                                                                                                            
4818.331,1,0.74,3.802                                                                                                                            
4819.331,1,0.74,3.802                                                                                                                            
4820.331,1,0.74,3.802                                                                                                                            
4821.331,1,0.74,3.802                                                                                                                            
4822.331,1,0.74,3.802                                                                                                                            
4823.331,1,0.74,3.802                                                                                                                            
4824.331,1,0.74,3.802                                                                                                                            
4825.331,1,0.74,3.803                                                                                                                            
4826.331,1,0.74,3.803                                                                                                                            
4827.331,1,0.74,3.803                                                                                                                            
4828.331,1,0.74,3.803                                                                                                                            
4829.331,1,0.74,3.803                                                                                                                            
4830.331,1,0.74,3.803                                                                                                                            
4831.331,1,0.74,3.803                                                                                                                            
4832.331,1,0.74,3.803                                                                                                                            
4833.331,1,0.74,3.803                                                                                                                            
4834.331,1,0.74,3.803                                                                                                                            
4835.331,1,0.74,3.803                                                                                                                            
4836.331,1,0.74,3.803                                                                                                                            
4837.331,1,0.74,3.803                                                                                                                            
4838.331,1,0.74,3.803                                                                                                                            
4839.331,1,0.74,3.803                                                                                                                            
4840.331,1,0.74,3.804                                                                                                                            
4841.331,1,0.74,3.804                                                                                                                            
4842.331,1,0.74,3.804                                                                                                                            
4843.331,1,0.74,3.804                                                                                                                            
4844.331,1,0.74,3.804                                                                                                                            
4845.331,1,0.74,3.804                                                                                                                            
4846.331,1,0.74,3.804                                                                                                                            
4847.331,1,0.74,3.804                                                                                                                            
4848.331,1,0.74,3.804                                                                                                                            
4849.331,1,0.74,3.804                                                                                                                            
4850.331,1,0.74,3.804                                                                                                                            
4851.331,1,0.74,3.804                                                                                                                            
4852.331,1,0.74,3.804                                                                                                                            
4853.331,1,0.74,3.804                                                                                                                            
4854.331,1,0.74,3.804                                                                                                                            
4855.331,1,0.74,3.804                                                                                                                            
4856.331,1,0.74,3.805                                                                                                                            
4857.331,1,0.74,3.805                                                                                                                            
4858.331,1,0.74,3.805                                                                                                                            
4859.331,1,0.74,3.805                                                                                                                            
4860.331,1,0.74,3.805                                                                                                                            
4861.331,1,0.74,3.805                                                                                                                            
4862.331,1,0.74,3.805                                                                                                                            
4863.331,1,0.74,3.805                                                                                                                            
4864.331,1,0.74,3.805                                                                                                                            
4865.331,1,0.74,3.805                                                                                                                            
4866.331,1,0.74,3.805                                                                                                                            
4867.331,1,0.74,3.805                                                                                                                            
4868.331,1,0.74,3.805                                                                                                                            
4869.331,1,0.74,3.805                                                                                                                            
4870.331,1,0.74,3.805                                                                                                                            
4871.331,1,0.74,3.805                                                                                                                            
4872.331,1,0.74,3.805                                                                                                                            
4873.331,1,0.74,3.805                                                                                                                            
4874.331,1,0.74,3.806                                                                                                                            
4875.331,1,0.74,3.806                                                                                                                            
4876.331,1,0.74,3.806                                                                                                                            
4877.331,1,0.74,3.806                                                                                                                            
4878.331,1,0.74,3.806                                                                                                                            
4879.331,1,0.74,3.806                                                                                                                            
4880.331,1,0.74,3.806                                                                                                                            
4881.331,1,0.74,3.806                                                                                                                            
4882.331,1,0.74,3.806                                                                                                                            
4883.331,1,0.74,3.806                                                                                                                            
4884.331,1,0.74,3.806                                                                                                                            
4885.331,1,0.74,3.806                                                                                                                            
4886.331,1,0.74,3.806                                                                                                                            
4887.331,1,0.74,3.806                                                                                                                            
4888.331,1,0.74,3.806                                                                                                                            
4889.331,1,0.74,3.806                                                                                                                            
4890.331,1,0.74,3.806                                                                                                                            
4891.331,1,0.74,3.806                                                                                                                            
4892.331,1,0.74,3.806                                                                                                                            
4893.331,1,0.74,3.807                                                                                                                            
4894.331,1,0.74,3.807                                                                                                                            
4895.331,1,0.74,3.807                                                                                                                            
4896.331,1,0.74,3.807                                                                                                                            
4897.331,1,0.74,3.807                                                                                                                            
4898.331,1,0.74,3.807                                                                                                                            
4899.331,1,0.74,3.807                                                                                                                            
4900.331,1,0.74,3.807                                                                                                                            
4901.331,1,0.74,3.807                                                                                                                            
4902.331,1,0.74,3.807                                                                                                                            
4903.331,1,0.74,3.807                                                                                                                            
4904.331,1,0.74,3.807                                                                                                                            
4905.331,1,0.74,3.807                                                                                                                            
4906.331,1,0.74,3.807                                                                                                                            
4907.331,1,0.74,3.807                                                                                                                            
4908.331,1,0.74,3.807                                                                                                                            
4909.331,1,0.74,3.807                                                                                                                            
4910.331,1,0.74,3.807                                                                                                                            
4911.331,1,0.74,3.807                                                                                                                            
4912.331,1,0.74,3.807                                                                                                                            
4913.331,1,0.74,3.807                                                                                                                            
4914.331,1,0.74,3.807                                                                                                                            
4915.331,1,0.74,3.807                                                                                                                            
4916.331,1,0.74,3.808                                                                                                                            
4917.331,1,0.74,3.808                                                                                                                            
4918.331,1,0.74,3.808                                                                                                                            
4919.331,1,0.74,3.808                                                                                                                            
4920.331,1,0.74,3.808                                                                                                                            
4921.331,1,0.74,3.808                                                                                                                            
4922.331,1,0.74,3.808                                                                                                                            
4923.331,1,0.74,3.808                                                                                                                            
4924.331,1,0.74,3.808                                                                                                                            
4925.331,1,0.74,3.808                                                                                                                            
4926.331,1,0.74,3.808                                                                                                                            
4927.331,1,0.74,3.808                                                                                                                            
4928.331,1,0.74,3.808                                                                                                                            
4929.331,1,0.74,3.808                                                                                                                            
4930.331,1,0.74,3.808                                                                                                                            
4931.331,1,0.74,3.808                                                                                                                            
4932.331,1,0.74,3.808                                                                                                                            
4933.331,1,0.74,3.808                                                                                                                            
4934.331,1,0.74,3.808                                                                                                                            
4935.331,1,0.74,3.809                                                                                                                            
4936.331,1,0.74,3.808                                                                                                                            
4937.331,1,0.74,3.809                                                                                                                            
4938.331,1,0.74,3.808                                                                                                                            
4939.331,1,0.74,3.809                                                                                                                            
4940.331,1,0.74,3.809                                                                                                                            
4941.331,1,0.74,3.809                                                                                                                            
4942.331,1,0.74,3.809                                                                                                                            
4943.331,1,0.74,3.809                                                                                                                            
4944.331,1,0.74,3.809                                                                                                                            
4945.331,1,0.74,3.809                                                                                                                            
4946.331,1,0.74,3.809                                                                                                                            
4947.331,1,0.74,3.809                                                                                                                            
4948.331,1,0.74,3.809                                                                                                                            
4949.331,1,0.74,3.809                                                                                                                            
4950.331,1,0.74,3.809                                                                                                                            
4951.331,1,0.74,3.809                                                                                                                            
4952.331,1,0.74,3.809                                                                                                                            
4953.331,1,0.74,3.809                                                                                                                            
4954.331,1,0.74,3.809                                                                                                                            
4955.331,1,0.74,3.809                                                                                                                            
4956.331,1,0.74,3.809                                                                                                                            
4957.331,1,0.74,3.81                                                                                                                             
4958.331,1,0.74,3.809                                                                                                                            
4959.331,1,0.74,3.809                                                                                                                            
4960.331,1,0.74,3.81                                                                                                                             
4961.331,1,0.74,3.809                                                                                                                            
4962.331,1,0.74,3.81                                                                                                                             
4963.331,1,0.74,3.809                                                                                                                            
4964.331,1,0.74,3.81                                                                                                                             
4965.331,1,0.74,3.81                                                                                                                             
4966.331,1,0.74,3.81                                                                                                                             
4967.331,1,0.74,3.81                                                                                                                             
4968.331,1,0.74,3.81                                                                                                                             
4969.331,1,0.74,3.81                                                                                                                             
4970.331,1,0.74,3.81                                                                                                                             
4971.331,1,0.74,3.81                                                                                                                             
4972.331,1,0.74,3.81                                                                                                                             
4973.331,1,0.74,3.81                                                                                                                             
4974.331,1,0.74,3.81                                                                                                                             
4975.331,1,0.74,3.81                                                                                                                             
4976.331,1,0.74,3.81                                                                                                                             
4977.331,1,0.74,3.81                                                                                                                             
4978.331,1,0.74,3.81                                                                                                                             
4979.331,1,0.74,3.81                                                                                                                             
4980.331,1,0.74,3.81                                                                                                                             
4981.331,1,0.74,3.81                                                                                                                             
4982.331,1,0.74,3.811                                                                                                                            
4983.331,1,0.74,3.81                                                                                                                             
4984.331,1,0.74,3.81                                                                                                                             
4985.331,1,0.74,3.811                                                                                                                            
4986.331,1,0.74,3.811                                                                                                                            
4987.331,1,0.74,3.811                                                                                                                            
4988.331,1,0.74,3.811                                                                                                                            
4989.331,1,0.74,3.811                                                                                                                            
4990.331,1,0.74,3.811                                                                                                                            
4991.331,1,0.74,3.811                                                                                                                            
4992.331,1,0.74,3.811                                                                                                                            
4993.331,1,0.74,3.811                                                                                                                            
4994.331,1,0.74,3.811                                                                                                                            
4995.331,1,0.74,3.811                                                                                                                            
4996.331,1,0.74,3.811                                                                                                                            
4997.331,1,0.74,3.811                                                                                                                            
4998.331,1,0.74,3.811                                                                                                                            
4999.331,1,0.74,3.811                                                                                                                            
5000.331,1,0.74,3.811                                                                                                                            
5001.331,1,0.74,3.811                                                                                                                            
5002.331,1,0.74,3.811                                                                                                                            
5003.331,1,0.74,3.811                                                                                                                            
5004.331,1,0.74,3.811                                                                                                                            
5005.331,1,0.74,3.811                                                                                                                            
5006.331,1,0.74,3.811                                                                                                                            
5007.331,1,0.74,3.811                                                                                                                            
5008.331,1,0.74,3.811                                                                                                                            
5009.331,1,0.74,3.811                                                                                                                            
5010.331,1,0.74,3.811                                                                                                                            
5011.331,1,0.74,3.812                                                                                                                            
5012.331,1,0.74,3.812                                                                                                                            
5013.331,1,0.74,3.812                                                                                                                            
5014.331,1,0.74,3.812                                                                                                                            
5015.331,1,0.74,3.812                                                                                                                            
5016.331,1,0.74,3.812                                                                                                                            
5017.331,1,0.74,3.812                                                                                                                            
5018.331,1,0.74,3.812                                                                                                                            
5019.331,1,0.74,3.812                                                                                                                            
5020.331,1,0.74,3.812                                                                                                                            
5021.331,1,0.74,3.812                                                                                                                            
5022.331,1,0.74,3.812                                                                                                                            
5023.331,1,0.74,3.812                                                                                                                            
5024.331,1,0.74,3.812                                                                                                                            
5025.331,1,0.74,3.812                                                                                                                            
5026.331,1,0.74,3.812                                                                                                                            
5027.331,1,0.74,3.812                                                                                                                            
5028.331,1,0.74,3.812                                                                                                                            
5029.331,1,0.74,3.813                                                                                                                            
5030.331,1,0.74,3.812                                                                                                                            
5031.331,1,0.74,3.812                                                                                                                            
5032.331,1,0.74,3.812                                                                                                                            
5033.331,1,0.74,3.813                                                                                                                            
5034.331,1,0.74,3.812                                                                                                                            
5035.331,1,0.74,3.813                                                                                                                            
5036.331,1,0.74,3.813                                                                                                                            
5037.331,1,0.74,3.812                                                                                                                            
5038.331,1,0.74,3.812                                                                                                                            
5039.331,1,0.74,3.813                                                                                                                            
5040.331,1,0.74,3.813                                                                                                                            
5041.331,1,0.74,3.813                                                                                                                            
5042.331,1,0.74,3.813                                                                                                                            
5043.331,1,0.74,3.813                                                                                                                            
5044.331,1,0.74,3.813                                                                                                                            
5045.331,1,0.74,3.813                                                                                                                            
5046.331,1,0.74,3.813                                                                                                                            
5047.331,1,0.74,3.813                                                                                                                            
5048.331,1,0.74,3.813                                                                                                                            
5049.331,1,0.74,3.813                                                                                                                            
5050.331,1,0.74,3.813                                                                                                                            
5051.331,1,0.74,3.813                                                                                                                            
5052.331,1,0.74,3.813                                                                                                                            
5053.331,1,0.74,3.813                                                                                                                            
5054.331,1,0.74,3.813                                                                                                                            
5055.331,1,0.74,3.813                                                                                                                            
5056.331,1,0.74,3.813                                                                                                                            
5057.331,1,0.74,3.813                                                                                                                            
5058.331,1,0.74,3.814                                                                                                                            
5059.331,1,0.74,3.813                                                                                                                            
5060.331,1,0.74,3.814                                                                                                                            
5061.331,1,0.74,3.814                                                                                                                            
5062.331,1,0.74,3.814                                                                                                                            
5063.331,1,0.74,3.814                                                                                                                            
5064.331,1,0.74,3.814                                                                                                                            
5065.331,1,0.74,3.814                                                                                                                            
5066.331,1,0.74,3.814                                                                                                                            
5067.331,1,0.74,3.814                                                                                                                            
5068.331,1,0.74,3.814                                                                                                                            
5069.331,1,0.74,3.814                                                                                                                            
5070.331,1,0.74,3.814                                                                                                                            
5071.331,1,0.74,3.814                                                                                                                            
5072.331,1,0.74,3.814                                                                                                                            
5073.331,1,0.74,3.814                                                                                                                            
5074.331,1,0.74,3.814                                                                                                                            
5075.331,1,0.74,3.814                                                                                                                            
5076.331,1,0.74,3.814                                                                                                                            
5077.331,1,0.74,3.814                                                                                                                            
5078.331,1,0.74,3.814                                                                                                                            
5079.331,1,0.74,3.814                                                                                                                            
5080.331,1,0.74,3.814                                                                                                                            
5081.331,1,0.74,3.814                                                                                                                            
5082.331,1,0.74,3.815                                                                                                                            
5083.331,1,0.74,3.814                                                                                                                            
5084.331,1,0.74,3.815                                                                                                                            
5085.331,1,0.74,3.814                                                                                                                            
5086.331,1,0.74,3.815                                                                                                                            
5087.331,1,0.74,3.815                                                                                                                            
5088.331,1,0.74,3.815                                                                                                                            
5089.331,1,0.74,3.815                                                                                                                            
5090.331,1,0.74,3.815                                                                                                                            
5091.331,1,0.74,3.815                                                                                                                            
5092.331,1,0.74,3.815                                                                                                                            
5093.331,1,0.74,3.815                                                                                                                            
5094.331,1,0.74,3.815                                                                                                                            
5095.331,1,0.74,3.815                                                                                                                            
5096.331,1,0.74,3.815                                                                                                                            
5097.331,1,0.74,3.815                                                                                                                            
5098.331,1,0.74,3.815                                                                                                                            
5099.331,1,0.74,3.815                                                                                                                            
5100.331,1,0.74,3.815                                                                                                                            
5101.331,1,0.74,3.815                                                                                                                            
5102.331,1,0.74,3.815                                                                                                                            
5103.331,1,0.74,3.815                                                                                                                            
5104.331,1,0.74,3.815                                                                                                                            
5105.331,1,0.74,3.815                                                                                                                            
5106.331,1,0.74,3.815                                                                                                                            
5107.331,1,0.74,3.816                                                                                                                            
5108.331,1,0.74,3.816                                                                                                                            
5109.331,1,0.74,3.815                                                                                                                            
5110.331,1,0.74,3.816                                                                                                                            
5111.331,1,0.74,3.816                                                                                                                            
5112.331,1,0.74,3.816                                                                                                                            
5113.331,1,0.74,3.816                                                                                                                            
5114.331,1,0.74,3.816                                                                                                                            
5115.331,1,0.74,3.816                                                                                                                            
5116.331,1,0.74,3.816                                                                                                                            
5117.331,1,0.74,3.816                                                                                                                            
5118.331,1,0.74,3.816                                                                                                                            
5119.331,1,0.74,3.816                                                                                                                            
5120.331,1,0.74,3.816                                                                                                                            
5121.331,1,0.74,3.816                                                                                                                            
5122.331,1,0.74,3.816                                                                                                                            
5123.331,1,0.74,3.816                                                                                                                            
